,0
1561,566
1562,662
1563,655
1564,950
1565,561
1566,822
1567,534
1568,590
1569,535
1570,529
1571,684
1572,715
1573,509
1574,1226
1575,660
1576,568
1577,1016
1578,673
1579,531
1580,762
1581,719
1582,497
1583,691
1584,705
1585,493
1586,662
1587,64809
1588,1088
1589,526
1590,1012
1591,681
1592,675
1593,614
1594,729
1595,720
1596,522
1597,990
1598,643
1599,642
1600,657
1601,756
1602,780
1603,574
1604,666
1605,853
1606,663
1607,64852
1608,1103
1609,582
1610,64822
1611,1084
1612,656
1613,684
1614,534
1615,1045
1616,561
1617,553
1618,661
1619,880
1620,536
1621,678
1622,596
1623,538
1624,676
1625,502
1626,666
1627,665
1628,699
1629,498
1630,737
1631,690
1632,544
1633,677
1634,559
1635,64840
1636,916
1637,548
1638,687
1639,634
1640,493
1641,849
1642,529
1643,597
1644,1027
1645,593
1646,501
1647,523
1648,498
1649,670
1650,795
1651,515
1652,520
1653,506
1654,751
1655,1063
1656,712
1657,556
1658,712
1659,606
1660,660
1661,488
1662,511
1663,966
1664,689
1665,64824
1666,1092
1667,620
1668,991
1669,940
1670,694
1671,64828
1672,921
1673,589
1674,627
1675,760
1676,591
1677,882
1678,742
1679,574
1680,676
1681,498
1682,558
1683,586
1684,706
1685,666
1686,547
1687,1017
1688,489
1689,713
1690,817
1691,515
1692,510
1693,873
1694,628
1695,559
1696,807
1697,690
1698,617
1699,633
1700,506
1701,94
1702,558
1703,735
1704,574
1705,1250
1706,649
1707,735
1708,979
1709,663
1710,639
1711,525
1712,731
1713,64845
1714,1108
1715,952
1716,803
1717,534
1718,486
1719,506
1720,510
1721,593
1722,682
1723,531
1724,666
1725,64820
1726,1091
1727,504
1728,606
1729,593
1730,666
1731,689
1732,945
1733,592
1734,721
1735,688
1736,583
1737,653
1738,523
1739,663
1740,659
1741,684
1742,730
1743,702
1744,685
1745,693
1746,648
1747,665
1748,717
1749,486
1750,661
1751,555
1752,661
1753,64824
1754,960
1755,236
1756,602
1757,582
1758,691
1759,1156
1760,742
1761,602
1762,651
1763,680
1764,779
1765,662
1766,627
1767,629
1768,691
1769,695
1770,703
1771,715
1772,500
1773,657
1774,650
1775,250
1776,633
1777,576
1778,707
1779,686
1780,550
1781,710
1782,745
1783,64816
1784,1093
1785,661
1786,973
1787,670
1788,661
1789,742
1790,532
1791,955
1792,96
1793,669
1794,1
1795,522
1796,584
1797,531
1798,771
1799,666
1800,1018
1801,795
1802,600
1803,608
1804,619
1805,709
1806,583
1807,64823
1808,1097
1809,871
1810,670
1811,690
1812,677
1813,586
1814,529
1815,658
1816,768
1817,685
1818,64810
1819,1108
1820,656
1821,679
1822,994
1823,589
1824,662
1825,593
1826,663
1827,687
1828,594
1829,608
1830,766
1831,64452
1832,64400
1833,64346
1834,64290
1835,64342
1836,64484
1837,64651
1838,64840
1839,65038
1840,65279
1841,65435
1842,957
1843,650
1844,764
1845,877
1846,64827
1847,1098
1848,670
1849,657
1850,64817
1851,1075
1852,953
1853,623
1854,718
1855,634
1856,532
1857,542
1858,496
1859,578
1860,613
1861,662
1862,539
1863,560
1864,64819
1865,992
1866,485
1867,700
1868,639
1869,733
1870,735
1871,552
1872,704
1873,650
1874,566
1875,694
1876,64831
1877,1080
1878,542
1879,680
1880,527
1881,1149
1882,632
1883,680
1884,64827
1885,1093
1886,573
1887,498
1888,727
1889,840
1890,648
1891,735
1892,532
1893,690
1894,686
1895,535
1896,800
1897,790
1898,528
1899,531
1900,889
1901,675
1902,686
1903,489
1904,526
1905,738
1906,673
1907,498
1908,763
1909,655
1910,722
1911,668
1912,552
1913,537
1914,662
1915,535
1916,537
1917,522
1918,535
1919,532
1920,696
1921,672
1922,488
1923,843
1924,744
1925,697
1926,64829
1927,961
1928,651
1929,575
1930,1489
1931,65533
1932,689
1933,673
1934,528
1935,633
1936,513
1937,652
1938,684
1939,841
1940,655
1941,805
1942,834
1943,1027
1944,534
1945,639
1946,693
1947,499
1948,600
1949,516
1950,680
1951,791
1952,3
1953,681
1954,690
1955,679
1956,64825
1957,1028
1958,794
1959,523
1960,668
1961,578
1962,677
1963,496
1964,678
1965,776
1966,528
1967,811
1968,668
1969,537
